video_title,video_id
8194,e56zJiUNV-Y
8193,WKaA5e3DVPo
8192,8FWNa69t6_A
8177,wIILXfHhLII
8173,mGp_87NO2Uc
8172,hYDB506B-_E
8171,qkx-sUbzpuM
8167,KwVUu3hmrlg
8164,zZRVUAepyg0
8155,AlCzBIpJmpY
8145,BKZEE67AiFQ
8142,ryOCjh1532A
8140,VUFsOV5EPwY
8138,LDK_hcIFhUA
8136,A-ikCLoicl4
8133,sJkoFWVSEuA
8127,L13xPQhEaks
Deleted video,4YqM0dbMekk
8119,pUxn1hx1tOs
8116,tqXI__5GGKw
8115,PxhPUln1rjM
8112,45VYhE_Dy10
8107,KmlQbmabovM
8103,iH8u-JIP684
8101,B57lS0yVQKM
8100,0hlsZIthu2A
8096,RKy3p3Igk9Y
8089,H98QT2pRURs
8085,e23djfTTlQ8
8084,CnwXFmjboYc
8079,1ftnVZ0geDs
8078,sBhogcjqpK4
8074,JXx3ZOVQu_E
8072,culbOgNTfxE
8068,deUUF5PhWv8
8061,UQ1KIWW_3DY
8058,BvrXn6y6NfY
8055,Gry0hltmGzw
8054,uC7P0rbnMXk
8048,iLZusrHmyV0
8045,3LOhkq3-aXo
8043,A_KvcA9dijU
8038,ESAFM9TtL6A
8035,oWgtAbwsT9o
8030,rPbqj8iQGaE
8027,09lUlF0Vatc
8021,FrTiT9xtTew
8018,rgNt6tJjpKE
8017,BaTkmWfGCkM
8011,bWcx4JJaIo4
8008,mVF1mMElHeU
8007,S1mbF5L3JdY
8004,iKYidTAiupA
8003,WY-pXkhZU6w
8000,zTOBo-ej_fs
7998,LF5RQe6y6mY
7989,6IlcMwQk3Pk
7987,JIfVHq00OTM
7985,5J4fHUXATnc
7975,NK0iZ__iV-k
7974,gp077Fm95eQ
7970,lBi6Ha46D9U
7969,PD9OGXXz7DQ
7967,c9kEdYaqpEA
7966,kM8YYMoJJI4
7964,zWJRlQqWCGw
7963,9RQIDm4WNBk
7959,rZ5ILtyEMBw
7951,cxjv7408mCw
7950,jd43twkpd20
7949,i1Y_Qut5ROA
7948,rf6pZS8-kvU
7943,KBs5bgC2Q_Q
7942,AKi3OOSRjsQ
7940,YgQpQ3gdIuA
7937,rGZuEhhwbUU
7936,_DXEApNfEuQ
7935,7bH86BnO_vM
7932,SLlpjjoLBlU
7929,C5vd25BUeo4
7928,fyZf0NMEyVw
7927,h3_h67CkSCw
7922,pRlCcQYTm9E
7920,a7TW3YU2tB0
7917,j6ccTVkwMCM
7909,TUDiIBdLyVw
7776,7NwM8tDnwM0
7774,YQDeV2QijF0
7773,p7EwgZ711x8
7762,476K6npQsls
7750,0rtR23FUK3I
7747,IpC60oUqEXs
7745,Wbf9rLsLT6o
7741,cMM1bNfLY-U
7740,91Eq270Qfo8
7735,yCgiNCDNTgE
7908,r628Sc2Pc0M
7906,rnvIq8fCncU
7891,0a4_WsQ3hpc
7890,L7WiSPtTz-8
7887,emoBLOaIDt0
7882,1Oovw3sgBxE
7876,wFLgB3e-g6g
7875,7FRreZMmHDY
7874,Z7heLpEbtE4
7873,EC01iFuUmgc
7872,D7qYM7M92fw
7869,pWS-1ktVVvc
7868,OONjD6HldKM
7867,k6T2vbxLZJQ
7865,JuP0zzCjyDY
7864,caYdog_J9XA
7863,tpPpdWbvspQ
7861,uEwojKuqE7A
7859,FXtg-PKfqCs
7850,B9bGfIS2mkI
7849,dqn-RsmEI9A
7847,WeNZLcoxhOo
7846,oflmbiaFdYQ
7840,k8HawCxBDJg
7838,ci4soFxRKaw
7833,p5gDDvv4YTY
7827,beCJ1hTP4j4
7822,UUN4z7-TtPM
7820,CqSerT8UpHo
7818,W92-LI7uxtk
7733,xSZNZrYj8yg
7729,v889NFX-4Bs
7727,gIDDTxVBxZg
7717,YrAV9sAB0Zg
7715,t-MePNcJlYs
7713,zxOEMIQOt0c
7708,tIYn14Lc3Dg
7707,Xy1h-yH0USw
7695,tBBCmGtOeQo
7691,v9id2dDNcSo
7685,UoMNpcqi-QU
7681,WhHDeO7q5Jc
7680,ndoouX4pzrs
7679,vQ0Vt-3HZ84
7677,vbqWiSSYuOA
7674,Z26fmKFp1iA
7668,869AqGxmNGs
7667,zl3idofPvHY
7662,PHOvWNrX5_M
7661,Vrz3WXS8Wj4
7659,zCJ6vqs1bIE
7657,On-55eeB__k
7655,Naa4qGaPmKM
7639,1mU7L2q0bD4
7636,EjI-lBfdMkk
7635,wI-RRL1Nipc
7634,vezqG7VmJE0
7624,-CRIGqlNSR0
7620,LJDsFMDVFmw
7617,SoOlnNJdqYc
7612,W_qKpbYWkgY
7608,U2hEFbbvGsI
7607,2rWWJpdgARs
7606,1r_8bfvVgCg
7602,nXJzUa7DUDw
7597,dsb7i8F-Z8g
7596,zx2EuwYeUFg
7591,dRhPLhtp3OY
7590,eKoRvnDswtQ
7589,Q1gHQoEgxdU
7587,v6Mo9LzkXSQ
7585,e3rCk7Xy9DM
7578,AxUiAfJdBLM
7572,KRJM0rz965I
7564,UlqNvcjEVFQ
Deleted video,spPREqVLmwY
7561,UGRllyMgxcw
7558,i9hlB6Y_aig
7557,p4k3pRG-YVI
7553,GgSFMyqSMfM
7552,wJrfLPg30qU
7547,kn6z0Nr6O78
7529,S2d4I-4HM7s
7525,6MPwiPPGK84
7514,fWmZuF-gwBE
7512,vrlBIhHfajc
7510,zPPopd-6jco
7509,SmVJDlxd200
7508,qbAWVhgWDzs
7507,h3tlJyrYie0
7505,ovOOSlxgkYk
7502,g9cS7KAfu18
7500,tG-u8fV1vKc
7499,rYJPN9Ci60U
7497,_WYBAx8tLd0
7491,Bk1SSa1MtIc
7488,nI1Olj18TJM
7486,oC-NNfPzSvM
7481,mF0hz-jkJog
7479,LTAMidpNhwg
7474,jM6fgkHZTbc
Deleted video,1y_Bz4logJo
7474,itil5G8dbxQ
ICT-2020--PIBITI-ENGENHARIA DE MATERIAIS E METALÚRGICA--CCT-UAEMAT:  DESENVOLVIMENTO,GMbfzun1mW4
teste,txaPijQ7mvg
Finalmente o resultado ICT2020-2021/UFCG,AS-nlmfAwLU
Prorrogação do Prazo para Inscrição dos projetos de IC&T para 01/09/2020,13yfPRSkwc4
Explicando a pontuação dos Currículos,xDk4aGFx2X0
UFCG - 2020 - ICT - Instruções para Avaliadores ad-hoc,VrQD-X85Yo4
